Date,Close
2010-06-29,4.778
2010-06-30,4.766
2010-07-01,4.392
2010-07-02,3.84
2010-07-06,3.222
2010-07-07,3.16
2010-07-08,3.492
2010-07-09,3.48
2010-07-12,3.41
2010-07-13,3.628
2010-07-14,3.968
2010-07-15,3.978
2010-07-16,4.128
2010-07-19,4.382
2010-07-20,4.06
2010-07-21,4.044
2010-07-22,4.2
2010-07-23,4.258
2010-07-26,4.19
2010-07-27,4.11
2010-07-28,4.144
2010-07-29,4.07
2010-07-30,3.988
2010-08-02,4.184
2010-08-03,4.39
2010-08-04,4.252
2010-08-05,4.09
2010-08-06,3.918
2010-08-09,3.92
2010-08-10,3.806
2010-08-11,3.58
2010-08-12,3.52
2010-08-13,3.664
2010-08-16,3.756
2010-08-17,3.83
2010-08-18,3.754
2010-08-19,3.758
2010-08-20,3.82
2010-08-23,4.026
2010-08-24,3.84
2010-08-25,3.98
2010-08-26,3.95
2010-08-27,3.94
2010-08-30,3.974
2010-08-31,3.896
2010-09-01,4.09
2010-09-02,4.212
2010-09-03,4.21
2010-09-07,4.108
2010-09-08,4.18
2010-09-09,4.142
2010-09-10,4.034
2010-09-13,4.144
2010-09-14,4.224
2010-09-15,4.396
2010-09-16,4.188
2010-09-17,4.046
2010-09-20,4.212
2010-09-21,4.154
2010-09-22,3.974
2010-09-23,3.912
2010-09-24,4.02
2010-09-27,4.106
2010-09-28,4.28
2010-09-29,4.396
2010-09-30,4.082
2010-10-01,4.12
2010-10-04,4.198
2010-10-05,4.224
2010-10-06,4.092
2010-10-07,4.086
2010-10-08,4.086
2010-10-11,4.048
2010-10-12,4.048
2010-10-13,4.108
2010-10-14,4.15
2010-10-15,4.108
2010-10-18,4.046
2010-10-19,4.01
2010-10-20,4.13
2010-10-21,4.15
2010-10-22,4.144
2010-10-25,4.17
2010-10-26,4.272
2010-10-27,4.2
2010-10-28,4.238
2010-10-29,4.368
2010-11-01,4.282
2010-11-02,4.25
2010-11-03,4.354
2010-11-04,4.98
2010-11-05,4.888
2010-11-08,4.996
2010-11-09,4.926
2010-11-10,5.872
2010-11-11,5.608
2010-11-12,5.968
2010-11-15,6.16
2010-11-16,5.934
2010-11-17,5.898
2010-11-18,5.978
2010-11-19,6.198
2010-11-22,6.68
2010-11-23,6.914
2010-11-24,7.094
2010-11-26,7.064
2010-11-29,6.866
2010-11-30,7.066
2010-12-01,6.87
2010-12-02,6.47
2010-12-03,6.298
2010-12-06,6.062
2010-12-07,6.312
2010-12-08,6.474
2010-12-09,6.41
2010-12-10,6.304
2010-12-13,6.11
2010-12-14,5.706
2010-12-15,5.92
2010-12-16,6.162
2010-12-17,6.272
2010-12-20,6.34
2010-12-21,6.452
2010-12-22,6.526
2010-12-23,6.018
2010-12-27,5.11
2010-12-28,5.282
2010-12-29,5.546
2010-12-30,5.3
2010-12-31,5.326
2011-01-03,5.324
2011-01-04,5.334
2011-01-05,5.366
2011-01-06,5.576
2011-01-07,5.648
2011-01-10,5.69
2011-01-11,5.392
2011-01-12,5.392
2011-01-13,5.244
2011-01-14,5.15
2011-01-18,5.128
2011-01-19,4.806
2011-01-20,4.524
2011-01-21,4.608
2011-01-24,4.898
2011-01-25,4.936
2011-01-26,4.95
2011-01-27,4.984
2011-01-28,4.802
2011-01-31,4.82
2011-02-01,4.782
2011-02-02,4.788
2011-02-03,4.726
2011-02-04,4.692
2011-02-07,4.614
2011-02-08,4.898
2011-02-09,4.642
2011-02-10,4.644
2011-02-11,4.65
2011-02-14,4.616
2011-02-15,4.568
2011-02-16,4.946
2011-02-17,4.72
